101.0,Teng Yanlong,40.0,45.0,grassland
102.0,Qingque,42.0,45.0,dungeon
102.0,Suzaku,40.0,45.0,grassland
103.0,Lightning Bear,18.0,22.0,game reserve
104.0,lily queen,40.0,45.0,forest
104.0,black moon queen,49.0,49.0,game reserve
105.0,Horus,40.0,45.0,game reserve
106.0,Pollux,40.0,45.0,grassland
107.0,Heterogeneous Griffin,40.0,45.0,game reserve
108.0,Knight of Light,50.0,50.0,grassland
109.0,Chaos Knight,50.0,50.0,desert
110.0,Winter Caller,50.0,50.0,dungeon
111.0,Vortex Dragon,50.0,50.0,game reserve
,,0.0,0.0,game reserve
,,0.0,0.0,Snow
,,0.0,0.0,desert
,,0.0,0.0,volcano
